                tablename                |                       indexname                        |                                                                                                                                              indexdef                                                                                                                                              
 PrescripcionStaging                     | ix_pr_cn                                               | CREATE INDEX ix_pr_cn ON public."PrescripcionStaging" USING btree ("CodNacion")
 PrescripcionStaging                     | ix_pr_nreg                                             | CREATE INDEX ix_pr_nreg ON public."PrescripcionStaging" USING btree ("NRegistro")
 PrescripcionStaging_NUEVA               | IX_PrescNueva_CodDcp                                   | CREATE INDEX "IX_PrescNueva_CodDcp" ON public."PrescripcionStaging_NUEVA" USING btree ("CodDcp")
 PrescripcionStaging_NUEVA               | IX_PrescNueva_CodDcpf                                  | CREATE INDEX "IX_PrescNueva_CodDcpf" ON public."PrescripcionStaging_NUEVA" USING btree ("CodDcpf")
 PrescripcionStaging_NUEVA               | IX_PrescNueva_CodDcsa                                  | CREATE INDEX "IX_PrescNueva_CodDcsa" ON public."PrescripcionStaging_NUEVA" USING btree ("CodDcsa")
 PrescripcionStaging_NUEVA               | IX_PrescNueva_Comerc                                   | CREATE INDEX "IX_PrescNueva_Comerc" ON public."PrescripcionStaging_NUEVA" USING btree ("CodNacion") WHERE ("SwComercializado" IS TRUE)
 PrescripcionStaging_NUEVA               | IX_PrescNueva_NRegistro                                | CREATE INDEX "IX_PrescNueva_NRegistro" ON public."PrescripcionStaging_NUEVA" USING btree ("NRegistro")
 PrescripcionStaging_NUEVA               | PK_PrescNueva_CodNacion                                | CREATE UNIQUE INDEX "PK_PrescNueva_CodNacion" ON public."PrescripcionStaging_NUEVA" USING btree ("CodNacion")
 PrescripcionStaging_NUEVA               | idx_presc_codes                                        | CREATE INDEX idx_presc_codes ON public."PrescripcionStaging_NUEVA" USING btree ("CodDcp", "CodDcpf", "CodDcsa")
 PrescripcionStaging_NUEVA               | idx_presc_codnacion                                    | CREATE INDEX idx_presc_codnacion ON public."PrescripcionStaging_NUEVA" USING btree ("CodNacion")
 PrescripcionStaging_NUEVA               | idx_presc_lab_com                                      | CREATE INDEX idx_presc_lab_com ON public."PrescripcionStaging_NUEVA" USING btree ("LabComercializadorCodigo")
 PrescripcionStaging_NUEVA               | idx_presc_lab_tit                                      | CREATE INDEX idx_presc_lab_tit ON public."PrescripcionStaging_NUEVA" USING btree ("LabTitularCodigo")
 PrescripcionStaging_NUEVA               | idx_presc_nreg                                         | CREATE INDEX idx_presc_nreg ON public."PrescripcionStaging_NUEVA" USING btree ("NRegistro")
 PrescripcionStaging_NUEVA               | idx_presc_nregistro                                    | CREATE INDEX idx_presc_nregistro ON public."PrescripcionStaging_NUEVA" USING btree ("NRegistro")
 PrescripcionStaging_NUEVO               | IX_PrescNuevo_CodNacion                                | CREATE INDEX "IX_PrescNuevo_CodNacion" ON public."PrescripcionStaging_NUEVO" USING btree ("CodNacion")
 PrescripcionStaging_NUEVO               | IX_PrescNuevo_Hash                                     | CREATE INDEX "IX_PrescNuevo_Hash" ON public."PrescripcionStaging_NUEVO" USING btree ("Hash")
 PrescripcionStaging_NUEVO               | IX_PrescNuevo_NRegistro                                | CREATE INDEX "IX_PrescNuevo_NRegistro" ON public."PrescripcionStaging_NUEVO" USING btree ("NRegistro")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_CodDcp_idx                   | CREATE INDEX "PrescripcionStaging_NUEVO_CodDcp_idx" ON public."PrescripcionStaging_NUEVO" USING btree ("CodDcp")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_CodDcpf_idx                  | CREATE INDEX "PrescripcionStaging_NUEVO_CodDcpf_idx" ON public."PrescripcionStaging_NUEVO" USING btree ("CodDcpf")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_CodDcsa_idx                  | CREATE INDEX "PrescripcionStaging_NUEVO_CodDcsa_idx" ON public."PrescripcionStaging_NUEVO" USING btree ("CodDcsa")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_CodSitRegPresen_idx          | CREATE INDEX "PrescripcionStaging_NUEVO_CodSitRegPresen_idx" ON public."PrescripcionStaging_NUEVO" USING btree ("CodSitRegPresen")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_CodSitReg_idx                | CREATE INDEX "PrescripcionStaging_NUEVO_CodSitReg_idx" ON public."PrescripcionStaging_NUEVO" USING btree ("CodSitReg")
 PrescripcionStaging_NUEVO               | PrescripcionStaging_NUEVO_pkey                         | CREATE UNIQUE INDEX "PrescripcionStaging_NUEVO_pkey" ON public."PrescripcionStaging_NUEVO" USING btree ("CodNacion")
 Presentacion                            | IX_Presentacion_Comercial                              | CREATE INDEX "IX_Presentacion_Comercial" ON public."Presentacion" USING btree ("Comercial")
 Presentacion                            | IX_Presentacion_Psum                                   | CREATE INDEX "IX_Presentacion_Psum" ON public."Presentacion" USING btree ("Psum")
 Presentacion                            | Presentacion_pkey                                      | CREATE UNIQUE INDEX "Presentacion_pkey" ON public."Presentacion" USING btree ("CN")
 Presentacion                            | ix_present_cn                                          | CREATE INDEX ix_present_cn ON public."Presentacion" USING btree ("CN")
 Presentacion                            | ux_presentacion_cn                                     | CREATE UNIQUE INDEX ux_presentacion_cn ON public."Presentacion" USING btree ("CN")
 PresentacionContenido                   | IX_PresCont_CN                                         | CREATE INDEX "IX_PresCont_CN" ON public."PresentacionContenido" USING btree ("CN")
 PresentacionContenido                   | IX_PresCont_EnvaseId                                   | CREATE INDEX "IX_PresCont_EnvaseId" ON public."PresentacionContenido" USING btree ("EnvaseId")
 PresentacionContenido                   | IX_PresCont_UnidadId                                   | CREATE INDEX "IX_PresCont_UnidadId" ON public."PresentacionContenido" USING btree ("UnidadId")
 PresentacionContenido                   | PresentacionContenido_pkey                             | CREATE UNIQUE INDEX "PresentacionContenido_pkey" ON public."PresentacionContenido" USING btree ("CN", "Secuencia")
 PresentacionContenido                   | idx_pc_envaseid                                        | CREATE INDEX idx_pc_envaseid ON public."PresentacionContenido" USING btree ("EnvaseId")
 PresentacionContenido                   | idx_pc_unidadid                                        | CREATE INDEX idx_pc_unidadid ON public."PresentacionContenido" USING btree ("UnidadId")
 PresentacionContenido                   | ux_pc_final                                            | CREATE UNIQUE INDEX ux_pc_final ON public."PresentacionContenido" USING btree ("CN", "Secuencia")
 PresentacionContenidoStaging            | PresentacionContenidoStaging_pkey                      | CREATE UNIQUE INDEX "PresentacionContenidoStaging_pkey" ON public."PresentacionContenidoStaging" USING btree ("CN", "Secuencia")
 PresentacionContenidoStaging            | ux_pc_staging                                          | CREATE UNIQUE INDEX ux_pc_staging ON public."PresentacionContenidoStaging" USING btree ("CN", "Secuencia")
 PrincipioActivoStaging                  | PrincipioActivoStaging_pkey                            | CREATE UNIQUE INDEX "PrincipioActivoStaging_pkey" ON public."PrincipioActivoStaging" USING btree ("NRegistro", "Orden")
 PrincipiosActivos                       | PrincipiosActivos_pkey                                 | CREATE UNIQUE INDEX "PrincipiosActivos_pkey" ON public."PrincipiosActivos" USING btree ("Codigo")
 PrincipiosActivosXmlTemp                | PrincipiosActivosXmlTemp_pkey                          | CREATE UNIQUE INDEX "PrincipiosActivosXmlTemp_pkey" ON public."PrincipiosActivosXmlTemp" USING btree ("Codigo")
 SituacionRegistroDicStaging             | SituacionRegistroDicStaging_pkey                       | CREATE UNIQUE INDEX "SituacionRegistroDicStaging_pkey" ON public."SituacionRegistroDicStaging" USING btree ("Codigo")
 SituacionRegistroDicStaging             | UX_SitReg_Codigo                                       | CREATE UNIQUE INDEX "UX_SitReg_Codigo" ON public."SituacionRegistroDicStaging" USING btree ("Codigo")
 SituacionRegistroDicStaging             | UX_SitReg_NombreCanon                                  | CREATE UNIQUE INDEX "UX_SitReg_NombreCanon" ON public."SituacionRegistroDicStaging" USING btree ("NombreCanon")
 SituacionRegistroDicStaging             | UX_SituacionRegistroDicStaging_NombreCanon             | CREATE UNIQUE INDEX "UX_SituacionRegistroDicStaging_NombreCanon" ON public."SituacionRegistroDicStaging" USING btree ("NombreCanon")
 SustanciaActiva                         | IX_SustanciaActiva_Codigo                              | CREATE INDEX "IX_SustanciaActiva_Codigo" ON public."SustanciaActiva" USING btree ("Codigo")
 SustanciaActiva                         | IX_SustanciaActiva_Nombre_trgm                         | CREATE INDEX "IX_SustanciaActiva_Nombre_trgm" ON public."SustanciaActiva" USING gin ("Nombre" gin_trgm_ops)
 SustanciaActiva                         | SustanciaActiva_pkey                                   | CREATE UNIQUE INDEX "SustanciaActiva_pkey" ON public."SustanciaActiva" USING btree ("Id")
 SustanciaActivaDicStaging               | IX_SustActDic_Id                                       | CREATE INDEX "IX_SustActDic_Id" ON public."SustanciaActivaDicStaging" USING btree ("Id")
 SustanciaActivaDicStaging               | SustanciaActivaDicStaging_pkey                         | CREATE UNIQUE INDEX "SustanciaActivaDicStaging_pkey" ON public."SustanciaActivaDicStaging" USING btree ("Id")
 SustanciaActivaDicStaging               | UX_SustanciaActivaDicStaging_NombreCanon               | CREATE UNIQUE INDEX "UX_SustanciaActivaDicStaging_NombreCanon" ON public."SustanciaActivaDicStaging" USING btree ("NombreCanon")
 SyncRun                                 | IX_SyncRun_InicioAt                                    | CREATE INDEX "IX_SyncRun_InicioAt" ON public."SyncRun" USING btree ("InicioAt")
 SyncRun                                 | IX_SyncRun_Tipo_InicioAt                               | CREATE INDEX "IX_SyncRun_Tipo_InicioAt" ON public."SyncRun" USING btree ("Tipo", "InicioAt")
 SyncRun                                 | SyncRun_pkey                                           | CREATE UNIQUE INDEX "SyncRun_pkey" ON public."SyncRun" USING btree ("Id")
 UnidadContenidoDicStaging               | IX_UnidadContDic_Id                                    | CREATE INDEX "IX_UnidadContDic_Id" ON public."UnidadContenidoDicStaging" USING btree ("Id")
 UnidadContenidoDicStaging               | UX_UnidadContenidoDicStaging_NombreCanon               | CREATE UNIQUE INDEX "UX_UnidadContenidoDicStaging_NombreCanon" ON public."UnidadContenidoDicStaging" USING btree ("NombreCanon")
 UnidadContenidoDicStaging               | UnidadContenidoDicStaging_pkey                         | CREATE UNIQUE INDEX "UnidadContenidoDicStaging_pkey" ON public."UnidadContenidoDicStaging" USING btree ("Id")
 ViaAdministracion                       | IX_ViaAdministracion_NombreCanon                       | CREATE INDEX "IX_ViaAdministracion_NombreCanon" ON public."ViaAdministracion" USING btree ("NombreCanon")
 ViaAdministracion                       | UX_ViaAdministracion_NombreCanon                       | CREATE UNIQUE INDEX "UX_ViaAdministracion_NombreCanon" ON public."ViaAdministracion" USING btree ("NombreCanon")
 ViaAdministracion                       | ViaAdministracion_pkey                                 | CREATE UNIQUE INDEX "ViaAdministracion_pkey" ON public."ViaAdministracion" USING btree ("Id")
 ViaAdministracionDicStaging             | IX_ViaDic_Id                                           | CREATE INDEX "IX_ViaDic_Id" ON public."ViaAdministracionDicStaging" USING btree ("Id")
 ViaAdministracionDicStaging             | UX_ViaAdministracionDicStaging_NombreCanon             | CREATE UNIQUE INDEX "UX_ViaAdministracionDicStaging_NombreCanon" ON public."ViaAdministracionDicStaging" USING btree ("NombreCanon")
 ViaAdministracionDicStaging             | ViaAdministracionDicStaging_pkey                       | CREATE UNIQUE INDEX "ViaAdministracionDicStaging_pkey" ON public."ViaAdministracionDicStaging" USING btree ("Id")
 ViaAdministracionMap                    | ViaAdministracionMap_pkey                              | CREATE UNIQUE INDEX "ViaAdministracionMap_pkey" ON public."ViaAdministracionMap" USING btree ("IdCima")
 Vtm                                     | Vtm_pkey                                               | CREATE UNIQUE INDEX "Vtm_pkey" ON public."Vtm" USING btree ("Id")
 VtmDicStaging                           | IX_VtmDic_Id                                           | CREATE INDEX "IX_VtmDic_Id" ON public."VtmDicStaging" USING btree ("Id")
 VtmDicStaging                           | UX_VtmDicStaging_NombreCanon                           | CREATE UNIQUE INDEX "UX_VtmDicStaging_NombreCanon" ON public."VtmDicStaging" USING btree ("NombreCanon")
 VtmDicStaging                           | VtmDicStaging_pkey                                     | CREATE UNIQUE INDEX "VtmDicStaging_pkey" ON public."VtmDicStaging" USING btree ("Id")
 _EnvasesCsv                             | _EnvasesCsv_pkey                                       | CREATE UNIQUE INDEX "_EnvasesCsv_pkey" ON public."_EnvasesCsv" USING btree ("Nombre")
 _UnidadContenidoCsv                     | _UnidadContenidoCsv_pkey                               | CREATE UNIQUE INDEX "_UnidadContenidoCsv_pkey" ON public."_UnidadContenidoCsv" USING btree ("Codigo")
 __EFMigrationsHistory                   | PK___EFMigrationsHistory                               | CREATE UNIQUE INDEX "PK___EFMigrationsHistory" ON public."__EFMigrationsHistory" USING btree ("MigrationId")
 excip_dic_map                           | excip_dic_map_pkey                                     | CREATE UNIQUE INDEX excip_dic_map_pkey ON public.excip_dic_map USING btree (cod, excipiente_id)
 graph_edge                              | ge_dcp_dcsa_src                                        | CREATE INDEX ge_dcp_dcsa_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'DCP'::text) AND (rel = 'PERTENECE_A_DCSA'::text) AND (dst_type = 'DCSA'::text))
 graph_edge                              | ge_dcpf_dcp_src                                        | CREATE INDEX ge_dcpf_dcp_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'DCPF'::text) AND (rel = 'PERTENECE_A_DCP'::text) AND (dst_type = 'DCP'::text))
 graph_edge                              | ge_dst                                                 | CREATE INDEX ge_dst ON public.graph_edge USING btree (dst_type, dst_key)
 graph_edge                              | ge_dst_pres_med                                        | CREATE INDEX ge_dst_pres_med ON public.graph_edge USING btree (dst_type, rel, dst_key) WHERE ((dst_type = 'Presentacion'::text) AND (rel = 'TIENE_PRESENTACION'::text) AND (src_type = 'Medicamento'::text))
 graph_edge                              | ge_med_exc                                             | CREATE INDEX ge_med_exc ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Medicamento'::text) AND (dst_type = 'Excipiente'::text) AND (rel = 'CONTINE_EXCIPIENTE'::text))
 graph_edge                              | ge_med_exc_src                                         | CREATE INDEX ge_med_exc_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Medicamento'::text) AND (dst_type = 'Excipiente'::text) AND (rel = 'CONTINE_EXCIPIENTE'::text))
 graph_edge                              | ge_med_pres_src                                        | CREATE INDEX ge_med_pres_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Medicamento'::text) AND (rel = 'TIENE_PRESENTACION'::text) AND (dst_type = 'Presentacion'::text))
 graph_edge                              | ge_pres_env_src                                        | CREATE INDEX ge_pres_env_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Presentacion'::text) AND (rel = 'USA_ENVASE'::text) AND (dst_type = 'Envase'::text))
 graph_edge                              | ge_pres_med_dst                                        | CREATE INDEX ge_pres_med_dst ON public.graph_edge USING btree (dst_type, rel, dst_key) WHERE ((dst_type = 'Presentacion'::text) AND (rel = 'TIENE_PRESENTACION'::text) AND (src_type = 'Medicamento'::text))
 graph_edge                              | ge_pres_uni_src                                        | CREATE INDEX ge_pres_uni_src ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Presentacion'::text) AND (rel = 'TIENE_UNIDAD'::text) AND (dst_type = 'UnidadContenido'::text))
 graph_edge                              | ge_src                                                 | CREATE INDEX ge_src ON public.graph_edge USING btree (src_type, src_key)
 graph_edge                              | ge_src_dcp_dcsa                                        | CREATE INDEX ge_src_dcp_dcsa ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'DCP'::text) AND (rel = 'PERTENECE_A_DCSA'::text))
 graph_edge                              | ge_src_dcpf_dcp                                        | CREATE INDEX ge_src_dcpf_dcp ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'DCPF'::text) AND (rel = 'PERTENECE_A_DCP'::text))
 graph_edge                              | ge_src_med_pres                                        | CREATE INDEX ge_src_med_pres ON public.graph_edge USING btree (src_type, rel, src_key) WHERE ((src_type = 'Medicamento'::text) AND (rel = 'TIENE_PRESENTACION'::text) AND (dst_type = 'Presentacion'::text))
 graph_edge                              | graph_edge_pkey                                        | CREATE UNIQUE INDEX graph_edge_pkey ON public.graph_edge USING btree (src_type, src_key, rel, dst_type, dst_key)
 graph_edge                              | idx_ge_dst                                             | CREATE INDEX idx_ge_dst ON public.graph_edge USING btree (dst_type, dst_key)
 graph_edge                              | idx_ge_forma_exact                                     | CREATE INDEX idx_ge_forma_exact ON public.graph_edge USING btree (src_key, dst_key) WHERE ((src_type = 'Medicamento'::text) AND (rel = 'TIENE_FORMA'::text) AND (dst_type = 'Forma'::text))
 graph_edge                              | idx_ge_forma_simpl_exact                               | CREATE INDEX idx_ge_forma_simpl_exact ON public.graph_edge USING btree (src_key, dst_key) WHERE ((src_type = 'Medicamento'::text) AND (rel = 'TIENE_FORMA_SIMPL'::text) AND (dst_type = 'FormaSimplificada'::text))
 graph_edge                              | idx_ge_src                                             | CREATE INDEX idx_ge_src ON public.graph_edge USING btree (src_type, src_key)
 graph_edge                              | idx_graph_edge_rel_dst                                 | CREATE INDEX idx_graph_edge_rel_dst ON public.graph_edge USING btree (rel, dst_type, dst_key)
 graph_edge                              | idx_graph_edge_rel_src                                 | CREATE INDEX idx_graph_edge_rel_src ON public.graph_edge USING btree (rel, src_type, src_key)
 graph_edge                              | ix_ge_dst                                              | CREATE INDEX ix_ge_dst ON public.graph_edge USING btree (dst_type, dst_key)
 graph_edge                              | ix_ge_rel                                              | CREATE INDEX ix_ge_rel ON public.graph_edge USING btree (rel)
 graph_edge                              | ix_ge_rel_dst                                          | CREATE INDEX ix_ge_rel_dst ON public.graph_edge USING btree (rel, dst_type, dst_key)
 graph_edge                              | ix_ge_src                                              | CREATE INDEX ix_ge_src ON public.graph_edge USING btree (src_type, src_key)
 graph_edge                              | ix_ge_src_rel                                          | CREATE INDEX ix_ge_src_rel ON public.graph_edge USING btree (src_type, rel, src_key)
 graph_edge                              | ux_ge_unique                                           | CREATE UNIQUE INDEX ux_ge_unique ON public.graph_edge USING btree (src_type, src_key, rel, dst_type, dst_key)
 graph_node                              | gn_trgm_nombre                                         | CREATE INDEX gn_trgm_nombre ON public.graph_node USING gin (lower((props ->> 'nombre'::text)) gin_trgm_ops)
 graph_node                              | graph_node_pkey                                        | CREATE UNIQUE INDEX graph_node_pkey ON public.graph_node USING btree (node_type, node_key)
 graph_node                              | ix_gn_type_name_trgm                                   | CREATE INDEX ix_gn_type_name_trgm ON public.graph_node USING gin (name gin_trgm_ops)
 graph_node                              | ux_gn_unique                                           | CREATE UNIQUE INDEX ux_gn_unique ON public.graph_node USING btree (node_type, node_key)
 med_quarantine                          | med_quarantine_pkey                                    | CREATE UNIQUE INDEX med_quarantine_pkey ON public.med_quarantine USING btree (nregistro)
 meds_ft_mv                              | idx_meds_ft_mv_nregistro                               | CREATE INDEX idx_meds_ft_mv_nregistro ON public.meds_ft_mv USING btree ("NRegistro")
 meds_ft_mv                              | idx_meds_ft_mv_tsv                                     | CREATE INDEX idx_meds_ft_mv_tsv ON public.meds_ft_mv USING gin (tsv)
 mv_med_excip_agg                        | mv_med_excip_agg_idx                                   | CREATE INDEX mv_med_excip_agg_idx ON public.mv_med_excip_agg USING btree ("NRegistro", "ExcipienteId")
 pa_map                                  | ix_pa_map_code                                         | CREATE INDEX ix_pa_map_code ON public.pa_map USING btree (codigo_num)
 pa_map                                  | ix_pa_map_nom                                          | CREATE INDEX ix_pa_map_nom ON public.pa_map USING btree (nom)
 pa_unmatched                            | ix_paum_cat                                            | CREATE INDEX ix_paum_cat ON public.pa_unmatched USING btree (categoria)
 pa_unmatched_map                        | pa_unmatched_map_pkey                                  | CREATE UNIQUE INDEX pa_unmatched_map_pkey ON public.pa_unmatched_map USING btree (codigo_json)
 search_terms_mv                         | ix_terms_trgm                                          | CREATE INDEX ix_terms_trgm ON public.search_terms_mv USING gin (termino gin_trgm_ops)
 search_terms_mv                         | ux_search_terms                                        | CREATE UNIQUE INDEX ux_search_terms ON public.search_terms_mv USING btree (tipo, clave, termino)
(265 rows)

