               table_name                |           column_name           |        data_type         | character_maximum_length | is_nullable |              column_default               
 vExcipienteCanon                        | ExcipienteId                    | bigint                   |                          | YES         | 
 vExcipienteCanon                        | NombreOficial                   | character varying        |                      256 | YES         | 
 vExcipienteCanon                        | Alias                           | text                     |                          | YES         | 
 vExcipienteCanon                        | AliasCanon                      | character varying        |                      256 | YES         | 
 vExcipienteSearch                       | ExcipienteId                    | bigint                   |                          | YES         | 
 vExcipienteSearch                       | NombreOficial                   | character varying        |                      256 | YES         | 
 vExcipienteSearch                       | Alias                           | text                     |                          | YES         | 
 vExcipienteSearch                       | AliasCanon                      | character varying        |                      256 | YES         | 
 vMedConFotos                            | NRegistro                       | character varying        |                       32 | YES         | 
 vMedConFotos                            | Nombre                          | character varying        |                      512 | YES         | 
 vMedConFotos                            | Comercializado                  | boolean                  |                          | YES         | 
 vMedConFotos                            | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedConFotos                            | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedConFotos                            | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedConFotos                            | Huerfano                        | boolean                  |                          | YES         | 
 vMedConFotos                            | Biosimilar                      | boolean                  |                          | YES         | 
 vMedConFotos                            | Psum                            | boolean                  |                          | YES         | 
 vMedConFotos                            | Fotos                           | boolean                  |                          | YES         | 
 vMedConFotos                            | n_sustancias                    | bigint                   |                          | YES         | 
 vMedConFotos                            | n_vias                          | bigint                   |                          | YES         | 
 vMedConFotos                            | n_excipientes                   | bigint                   |                          | YES         | 
 vMedConFotos                            | n_atc                           | bigint                   |                          | YES         | 
 vMedConFotos                            | n_cn                            | bigint                   |                          | YES         | 
 vMedConFotos                            | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedConPsum                             | NRegistro                       | character varying        |                       32 | YES         | 
 vMedConPsum                             | Nombre                          | character varying        |                      512 | YES         | 
 vMedConPsum                             | Comercializado                  | boolean                  |                          | YES         | 
 vMedConPsum                             | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedConPsum                             | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedConPsum                             | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedConPsum                             | Huerfano                        | boolean                  |                          | YES         | 
 vMedConPsum                             | Biosimilar                      | boolean                  |                          | YES         | 
 vMedConPsum                             | Psum                            | boolean                  |                          | YES         | 
 vMedConPsum                             | Fotos                           | boolean                  |                          | YES         | 
 vMedConPsum                             | n_sustancias                    | bigint                   |                          | YES         | 
 vMedConPsum                             | n_vias                          | bigint                   |                          | YES         | 
 vMedConPsum                             | n_excipientes                   | bigint                   |                          | YES         | 
 vMedConPsum                             | n_atc                           | bigint                   |                          | YES         | 
 vMedConPsum                             | n_cn                            | bigint                   |                          | YES         | 
 vMedConPsum                             | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedResumen                             | NRegistro                       | character varying        |                       32 | YES         | 
 vMedResumen                             | Nombre                          | character varying        |                      512 | YES         | 
 vMedResumen                             | Comercializado                  | boolean                  |                          | YES         | 
 vMedResumen                             | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedResumen                             | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedResumen                             | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedResumen                             | Huerfano                        | boolean                  |                          | YES         | 
 vMedResumen                             | Biosimilar                      | boolean                  |                          | YES         | 
 vMedResumen                             | Psum                            | boolean                  |                          | YES         | 
 vMedResumen                             | Fotos                           | boolean                  |                          | YES         | 
 vMedResumen                             | n_sustancias                    | bigint                   |                          | YES         | 
 vMedResumen                             | n_vias                          | bigint                   |                          | YES         | 
 vMedResumen                             | n_excipientes                   | bigint                   |                          | YES         | 
 vMedResumen                             | n_atc                           | bigint                   |                          | YES         | 
 vMedResumen                             | n_cn                            | bigint                   |                          | YES         | 
 vMedResumen                             | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedSinExcipientes                      | NRegistro                       | character varying        |                       32 | YES         | 
 vMedSinExcipientes                      | Nombre                          | character varying        |                      512 | YES         | 
 vMedSinExcipientes                      | Comercializado                  | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedSinExcipientes                      | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | Huerfano                        | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | Biosimilar                      | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | Psum                            | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | Fotos                           | boolean                  |                          | YES         | 
 vMedSinExcipientes                      | n_sustancias                    | bigint                   |                          | YES         | 
 vMedSinExcipientes                      | n_vias                          | bigint                   |                          | YES         | 
 vMedSinExcipientes                      | n_excipientes                   | bigint                   |                          | YES         | 
 vMedSinExcipientes                      | n_atc                           | bigint                   |                          | YES         | 
 vMedSinExcipientes                      | n_cn                            | bigint                   |                          | YES         | 
 vMedSinExcipientes                      | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedSinFotos                            | NRegistro                       | character varying        |                       32 | YES         | 
 vMedSinFotos                            | Nombre                          | character varying        |                      512 | YES         | 
 vMedSinFotos                            | Comercializado                  | boolean                  |                          | YES         | 
 vMedSinFotos                            | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedSinFotos                            | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedSinFotos                            | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedSinFotos                            | Huerfano                        | boolean                  |                          | YES         | 
 vMedSinFotos                            | Biosimilar                      | boolean                  |                          | YES         | 
 vMedSinFotos                            | Psum                            | boolean                  |                          | YES         | 
 vMedSinFotos                            | Fotos                           | boolean                  |                          | YES         | 
 vMedSinFotos                            | n_sustancias                    | bigint                   |                          | YES         | 
 vMedSinFotos                            | n_vias                          | bigint                   |                          | YES         | 
 vMedSinFotos                            | n_excipientes                   | bigint                   |                          | YES         | 
 vMedSinFotos                            | n_atc                           | bigint                   |                          | YES         | 
 vMedSinFotos                            | n_cn                            | bigint                   |                          | YES         | 
 vMedSinFotos                            | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedTriangulo                           | NRegistro                       | character varying        |                       32 | YES         | 
 vMedTriangulo                           | Nombre                          | character varying        |                      512 | YES         | 
 vMedTriangulo                           | Comercializado                  | boolean                  |                          | YES         | 
 vMedTriangulo                           | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 vMedTriangulo                           | AfectaConduccion                | boolean                  |                          | YES         | 
 vMedTriangulo                           | TrianguloNegro                  | boolean                  |                          | YES         | 
 vMedTriangulo                           | Huerfano                        | boolean                  |                          | YES         | 
 vMedTriangulo                           | Biosimilar                      | boolean                  |                          | YES         | 
 vMedTriangulo                           | Psum                            | boolean                  |                          | YES         | 
 vMedTriangulo                           | Fotos                           | boolean                  |                          | YES         | 
 vMedTriangulo                           | n_sustancias                    | bigint                   |                          | YES         | 
 vMedTriangulo                           | n_vias                          | bigint                   |                          | YES         | 
 vMedTriangulo                           | n_excipientes                   | bigint                   |                          | YES         | 
 vMedTriangulo                           | n_atc                           | bigint                   |                          | YES         | 
 vMedTriangulo                           | n_cn                            | bigint                   |                          | YES         | 
 vMedTriangulo                           | fecha_doc_max                   | timestamp with time zone |                          | YES         | 
 vMedicamentoAtcExpanded                 | NRegistro                       | character varying        |                       32 | YES         | 
 vMedicamentoAtcExpanded                 | Codigo                          | character varying        |                       16 | YES         | 
 vMedicamentoAtcExpanded                 | CodigoAncestro                  | character varying        |                       16 | YES         | 
 vMedicamentoAtcExpanded                 | NombreAncestro                  | character varying        |                      256 | YES         | 
 vMedicamentoAtcExpanded                 | NivelAncestro                   | smallint                 |                          | YES         | 
 vMedicamentoExcipientesJson             | NRegistro                       | character varying        |                       32 | YES         | 
 vMedicamentoExcipientesJson             | ExcipienteId                    | bigint                   |                          | YES         | 
 vMedicamentoExcipientesJson             | Nombre                          | text                     |                          | YES         | 
 vMedicamentoExcipientesJson             | Obligatorio                     | boolean                  |                          | YES         | 
 vMedicamentoExcipientesJson             | Cantidad                        | text                     |                          | YES         | 
 vMedicamentoExcipientesJson             | Unidad                          | text                     |                          | YES         | 
 vMedicamentoExcipientesJson             | Orden                           | integer                  |                          | YES         | 
 vMedicamentoExcipientesPendientes       | NRegistro                       | character varying        |                       32 | YES         | 
 vMedicamentoExcipientesPendientes       | ExcipienteId                    | bigint                   |                          | YES         | 
 vMedicamentoExcipientesPendientes       | Obligatorio                     | boolean                  |                          | YES         | 
 vMedicamentoExcipientesPendientes       | Cantidad                        | text                     |                          | YES         | 
 vMedicamentoExcipientesPendientes       | Unidad                          | text                     |                          | YES         | 
 vMedicamentoExcipientesResolved         | NRegistro                       | character varying        |                       32 | YES         | 
 vMedicamentoExcipientesResolved         | ExcipienteId                    | bigint                   |                          | YES         | 
 vMedicamentoExcipientesResolved         | Obligatorio                     | boolean                  |                          | YES         | 
 vMedicamentoExcipientesResolved         | Cantidad                        | text                     |                          | YES         | 
 vMedicamentoExcipientesResolved         | Unidad                          | text                     |                          | YES         | 
 vMedicamentoExcipientesResolved         | NombreOficial                   | character varying        |                      256 | YES         | 
 vMedicamentoExcipientesResolved         | ExcipienteDesconocido           | boolean                  |                          | YES         | 
 vMedicamentoViasCanon                   | NRegistro                       | character varying        |                       32 | YES         | 
 vMedicamentoViasCanon                   | ViaId                           | integer                  |                          | YES         | 
 vMedicamentoViasCanon                   | via_nombre                      | text                     |                          | YES         | 
 vMedsSinPresentacion                    | NRegistro                       | text                     |                          | YES         | 
 vMedsSinPresentacion                    | tiene_edge_grafo                | boolean                  |                          | YES         | 
 vMedsSinPresentacion                    | tiene_codnacion_presc           | boolean                  |                          | YES         | 
 v_excip_dic_map                         | CodExcipiente                   | text                     |                          | YES         | 
 v_excip_dic_map                         | nombre_dic                      | text                     |                          | YES         | 
 v_excip_dic_map                         | excipiente_id                   | bigint                   |                          | YES         | 
 v_excip_dic_map_exact                   | CodExcipiente                   | text                     |                          | YES         | 
 v_excip_dic_map_exact                   | nombre_dic                      | text                     |                          | YES         | 
 v_excip_dic_map_exact                   | excipiente_id                   | bigint                   |                          | YES         | 
 v_grafo_excipientes                     | src_type                        | text                     |                          | YES         | 
 v_grafo_excipientes                     | src_key                         | text                     |                          | YES         | 
 v_grafo_excipientes                     | rel                             | text                     |                          | YES         | 
 v_grafo_excipientes                     | dst_type                        | text                     |                          | YES         | 
 v_grafo_excipientes                     | dst_key                         | text                     |                          | YES         | 
 v_grafo_excipientes                     | props                           | jsonb                    |                          | YES         | 
 v_med_excip                             | nregistro                       | text                     |                          | YES         | 
 v_med_excip                             | excipiente_id                   | integer                  |                          | YES         | 
 v_med_excip                             | n_ocurrencias                   | text                     |                          | YES         | 
 v_med_excip                             | ocurrencias_json                | jsonb                    |                          | YES         | 
 v_medicamentos_clean                    | Id                              | uuid                     |                          | YES         | 
 v_medicamentos_clean                    | Nombre                          | character varying        |                      512 | YES         | 
 v_medicamentos_clean                    | CreatedAt                       | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | Dosis                           | character varying        |                      128 | YES         | 
 v_medicamentos_clean                    | Generico                        | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | LabTitular                      | character varying        |                      256 | YES         | 
 v_medicamentos_clean                    | NRegistro                       | character varying        |                       32 | YES         | 
 v_medicamentos_clean                    | RawJson                         | jsonb                    |                          | YES         | 
 v_medicamentos_clean                    | Receta                          | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | UpdatedAt                       | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | FormaFarmaceuticaId             | integer                  |                          | YES         | 
 v_medicamentos_clean                    | FormaFarmaceuticaSimplificadaId | integer                  |                          | YES         | 
 v_medicamentos_clean                    | VtmId                           | bigint                   |                          | YES         | 
 v_medicamentos_clean                    | RawJsonDetalle                  | jsonb                    |                          | YES         | 
 v_medicamentos_clean                    | EnrichedAt                      | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | Comercializado                  | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | FechaSuspension                 | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | FechaRevocacion                 | timestamp with time zone |                          | YES         | 
 v_medicamentos_clean                    | AfectaConduccion                | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | TrianguloNegro                  | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | Huerfano                        | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | Biosimilar                      | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | MaterialesInformativos          | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | Fotos                           | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | Psum                            | boolean                  |                          | YES         | 
 v_medicamentos_clean                    | LaboratorioTitularId            | integer                  |                          | YES         | 
 v_medicamentos_clean                    | LaboratorioComercializadorId    | integer                  |                          | YES         | 
(559 rows)

